plot_num,plot_type,replicate,sp_code,num_seeds_produced
743,L,2,CHGL,1047
743,L,3,CHGL,NA
743,L,4,CHGL,NA
743,L,5,CHGL,NA
744,L,1,CHGL,443
744,L,2,CHGL,467
744,L,3,CHGL,667
744,L,4,CHGL,851
744,L,5,CHGL,106
745,L,1,CHGL,80
745,L,2,CHGL,23
745,L,3,CHGL,133
745,L,4,CHGL,99
745,L,5,CHGL,12
746,L,1,CHGL,57
746,L,2,CHGL,26
746,L,3,CHGL,55
746,L,4,CHGL,33
746,L,5,CHGL,44
747,L,1,CHGL,134
747,L,2,CHGL,147
747,L,3,CHGL,161
747,L,4,CHGL,190
747,L,5,CHGL,241
748,L,1,CHGL,277
748,L,2,CHGL,170
748,L,3,CHGL,98
748,L,4,CHGL,137
748,L,5,CHGL,150
748,L,6,CHGL,232
749,L,1,CHGL,1203
749,L,2,CHGL,1184
749,L,3,CHGL,571
749,L,4,CHGL,759
749,L,5,CHGL,846
750,L,1,CHGL,95
750,L,2,CHGL,91
750,L,3,CHGL,167
750,L,4,CHGL,67
750,L,5,CHGL,52
751,L,1,CHGL,46
751,L,2,CHGL,66
751,L,3,CHGL,43
751,L,4,CHGL,17
751,L,5,CHGL,54
752,L,1,CHGL,41
752,L,2,CHGL,14
752,L,3,CHGL,20
752,L,4,CHGL,18
752,L,5,CHGL,37
753,L,1,CHGL,16
753,L,2,CHGL,56
753,L,3,CHGL,NA
753,L,4,CHGL,NA
753,L,5,CHGL,NA
754,L,1,CHGL,13
754,L,2,CHGL,NA
754,L,3,CHGL,NA
754,L,4,CHGL,NA
754,L,5,CHGL,NA
755,L,1,CHGL,37
755,L,2,CHGL,22
755,L,3,CHGL,43
755,L,4,CHGL,NA
755,L,5,CHGL,NA
740,L,1,EUPE,642
740,L,2,EUPE,120
740,L,3,EUPE,39
740,L,4,EUPE,2649
740,L,5,EUPE,504
740,L,6,EUPE,378
741,L,1,EUPE,60
741,L,2,EUPE,99
741,L,3,EUPE,48
741,L,4,EUPE,60
741,L,5,EUPE,198
742,L,1,EUPE,117
742,L,2,EUPE,84
742,L,3,EUPE,639
742,L,4,EUPE,36
742,L,5,EUPE,90
742,L,6,EUPE,213
742,L,7,EUPE,93
742,L,8,EUPE,36
743,L,1,EUPE,156
743,L,2,EUPE,15
743,L,3,EUPE,72
743,L,4,EUPE,51
743,L,5,EUPE,132
743,L,6,EUPE,24
744,L,1,EUPE,189
744,L,2,EUPE,78
744,L,3,EUPE,228
744,L,4,EUPE,645
744,L,5,EUPE,156
