plot_num,rep,sp_code,num_germinants,expected_germinants_l,num_germinants_corrected
745,4,AMME,0,60,0
745,4,CHGL,13,90,13
745,4,CLBO,0,60,0
745,4,MEPO,0,40,0
745,4,AGHE,32,60,32
745,4,BRMA,28,60,28
745,5,HECO,7,60,7
745,5,VUMI,30,60,30
745,5,CEME,13,60,13
745,5,LOWR,8,60,8
745,5,LACA,6,100,6
745,5,SACO,8,60,8
745,5,PLER,8,60,8
745,5,CLPU,0,60,0
745,5,HOMU,21,60,21
745,5,EUPE,24,60,24
745,5,MICA,1,50,1
745,5,AMME,6,60,6
745,5,CHGL,30,90,30
745,5,CLBO,0,60,0
745,5,MEPO,2,40,2
745,5,AGHE,7,60,7
745,5,BRMA,22,60,22
746,1,HECO,11,60,11
746,1,VUMI,34,60,34
746,1,CEME,8,60,8
746,1,LOWR,25,60,25
746,1,LACA,21,100,21
746,1,SACO,45,60,45
746,1,PLER,35,60,35
746,1,CLPU,0,60,0
746,1,HOMU,20,60,20
746,1,EUPE,14,60,14
746,1,MICA,0,50,0
746,1,AMME,1,60,1
746,1,CHGL,104,90,90
746,1,CLBO,0,60,0
746,1,MEPO,2,40,2
746,1,AGHE,32,60,32
746,1,BRMA,21,60,21
746,2,HECO,5,60,5
746,2,VUMI,41,60,41
746,2,CEME,8,60,8
746,2,LOWR,8,60,8
746,2,LACA,22,100,22
746,2,SACO,22,60,22
746,2,PLER,34,60,34
746,2,CLPU,0,60,0
746,2,HOMU,32,60,32
746,2,EUPE,4,60,4
746,2,MICA,0,50,0
746,2,AMME,0,60,0
746,2,CHGL,87,90,87
746,2,CLBO,0,60,0
746,2,MEPO,2,40,2
746,2,AGHE,29,60,29
746,2,BRMA,32,60,32
746,3,HECO,4,60,4
746,3,VUMI,19,60,19
746,3,CEME,0,60,0
746,3,LOWR,8,60,8
746,3,LACA,15,100,15
746,3,SACO,25,60,25
746,3,PLER,31,60,31
746,3,CLPU,0,60,0
746,3,HOMU,27,60,27
746,3,EUPE,6,60,6
746,3,MICA,0,50,0
746,3,AMME,5,60,5
746,3,CHGL,98,90,90
746,3,CLBO,0,60,0
746,3,MEPO,6,40,6
746,3,AGHE,28,60,28
746,3,BRMA,23,60,23
746,4,HECO,5,60,5
746,4,VUMI,42,60,42
746,4,CEME,8,60,8
746,4,LOWR,11,60,11
746,4,LACA,32,100,32
746,4,SACO,36,60,36
746,4,PLER,43,60,43
746,4,CLPU,0,60,0
746,4,HOMU,33,60,33
746,4,EUPE,25,60,25
746,4,MICA,0,50,0
746,4,AMME,1,60,1
746,4,CHGL,130,90,90
746,4,CLBO,0,60,0
746,4,MEPO,1,40,1
746,4,AGHE,43,60,43
746,4,BRMA,16,60,16
746,5,HECO,1,60,1
746,5,VUMI,42,60,42
746,5,CEME,1,60,1
746,5,LOWR,19,60,19
746,5,LACA,8,100,8
746,5,SACO,13,60,13
746,5,PLER,22,60,22
746,5,CLPU,0,60,0
746,5,HOMU,16,60,16
746,5,EUPE,5,60,5
746,5,MICA,3,50,3
746,5,AMME,2,60,2
746,5,CHGL,62,90,62
746,5,CLBO,0,60,0
746,5,MEPO,8,40,8
746,5,AGHE,15,60,15
746,5,BRMA,24,60,24
747,1,HECO,1,60,1
747,1,VUMI,21,60,21
747,1,CEME,20,60,20
747,1,LOWR,9,60,9
747,1,LACA,6,100,6
747,1,SACO,4,60,4
747,1,PLER,8,60,8
747,1,CLPU,0,60,0
747,1,HOMU,8,60,8
747,1,EUPE,0,60,0
747,1,MICA,1,50,1
747,1,AMME,0,60,0
747,1,CHGL,18,90,18
747,1,CLBO,0,60,0
747,1,MEPO,1,40,1
747,1,AGHE,6,60,6
747,1,BRMA,17,60,17
747,2,HECO,2,60,2
747,2,VUMI,28,60,28
747,2,CEME,0,60,0
747,2,LOWR,12,60,12
747,2,LACA,12,100,12
747,2,SACO,6,60,6
747,2,PLER,0,60,0
747,2,CLPU,0,60,0
747,2,HOMU,18,60,18
747,2,EUPE,1,60,1
747,2,MICA,2,50,2
747,2,AMME,0,60,0
747,2,CHGL,39,90,39
747,2,CLBO,0,60,0
747,2,MEPO,5,40,5
747,2,AGHE,36,60,36
747,2,BRMA,22,60,22
747,3,HECO,0,60,0
747,3,VUMI,43,60,43
747,3,CEME,5,60,5
747,3,LOWR,4,60,4
747,3,LACA,5,100,5
747,3,SACO,11,60,11
747,3,PLER,11,60,11
747,3,CLPU,0,60,0
747,3,HOMU,17,60,17
747,3,EUPE,4,60,4
747,3,MICA,1,50,1
747,3,AMME,1,60,1
747,3,CHGL,31,90,31
747,3,CLBO,0,60,0
747,3,MEPO,3,40,3
747,3,AGHE,17,60,17
747,3,BRMA,14,60,14
747,4,HECO,2,60,2
747,4,VUMI,25,60,25
747,4,CEME,6,60,6
747,4,LOWR,0,60,0
747,4,LACA,2,100,2
747,4,SACO,14,60,14
747,4,PLER,10,60,10
747,4,CLPU,0,60,0
747,4,HOMU,17,60,17
747,4,EUPE,5,60,5
747,4,MICA,1,50,1
747,4,AMME,0,60,0
747,4,CHGL,76,90,76
747,4,CLBO,0,60,0
747,4,MEPO,1,40,1
747,4,AGHE,8,60,8
747,4,BRMA,17,60,17
747,5,HECO,0,60,0
747,5,VUMI,26,60,26
747,5,CEME,3,60,3
747,5,LOWR,10,60,10
747,5,LACA,0,100,0
747,5,SACO,13,60,13
747,5,PLER,14,60,14
747,5,CLPU,0,60,0
747,5,HOMU,25,60,25
747,5,EUPE,0,60,0
747,5,MICA,8,50,8
747,5,AMME,0,60,0
747,5,CHGL,72,90,72
747,5,CLBO,0,60,0
747,5,MEPO,4,40,4
747,5,AGHE,41,60,41
747,5,BRMA,25,60,25
748,1,HECO,2,60,2
748,1,VUMI,7,60,7
748,1,CEME,0,60,0
748,1,LOWR,0,60,0
748,1,LACA,4,100,4
748,1,SACO,6,60,6
748,1,PLER,13,60,13
748,1,CLPU,0,60,0
748,1,HOMU,21,60,21
748,1,EUPE,1,60,1
748,1,MICA,0,50,0
748,1,AMME,0,60,0
748,1,CHGL,67,90,67
748,1,CLBO,0,60,0
748,1,MEPO,0,40,0
748,1,AGHE,16,60,16
748,1,BRMA,8,60,8
748,2,HECO,1,60,1
748,2,VUMI,32,60,32
748,2,CEME,0,60,0
748,2,LOWR,3,60,3
748,2,LACA,6,100,6
748,2,SACO,10,60,10
748,2,PLER,11,60,11
748,2,CLPU,0,60,0
748,2,HOMU,7,60,7
748,2,EUPE,1,60,1
748,2,MICA,0,50,0
748,2,AMME,0,60,0
748,2,CHGL,38,90,38
748,2,CLBO,0,60,0
748,2,MEPO,0,40,0
748,2,AGHE,4,60,4
748,2,BRMA,10,60,10
748,3,HECO,1,60,1
748,3,VUMI,49,60,49
748,3,CEME,0,60,0
748,3,LOWR,4,60,4
748,3,LACA,3,100,3
748,3,SACO,15,60,15
748,3,PLER,5,60,5
748,3,CLPU,0,60,0
748,3,HOMU,4,60,4
748,3,EUPE,1,60,1
748,3,MICA,0,50,0
748,3,AMME,0,60,0
748,3,CHGL,50,90,50
748,3,CLBO,0,60,0
748,3,MEPO,1,40,1
748,3,AGHE,3,60,3
748,3,BRMA,10,60,10
748,4,HECO,6,60,6
748,4,VUMI,14,60,14
748,4,CEME,0,60,0
748,4,LOWR,3,60,3
748,4,LACA,6,100,6
748,4,SACO,8,60,8
748,4,PLER,10,60,10
748,4,CLPU,0,60,0
748,4,HOMU,20,60,20
748,4,EUPE,3,60,3
748,4,MICA,0,50,0
748,4,AMME,0,60,0
748,4,CHGL,22,90,22
748,4,CLBO,0,60,0
748,4,MEPO,0,40,0
748,4,AGHE,8,60,8
748,4,BRMA,9,60,9
748,5,HECO,5,60,5
748,5,VUMI,12,60,12
748,5,CEME,0,60,0
748,5,LOWR,6,60,6
748,5,LACA,8,100,8
748,5,SACO,4,60,4
748,5,PLER,4,60,4
748,5,CLPU,0,60,0
748,5,HOMU,8,60,8
748,5,EUPE,0,60,0
748,5,MICA,0,50,0
748,5,AMME,0,60,0
748,5,CHGL,27,90,27
748,5,CLBO,0,60,0
748,5,MEPO,0,40,0
748,5,AGHE,21,60,21
748,5,BRMA,13,60,13
749,1,HECO,6,60,6
749,1,VUMI,34,60,34
749,1,CEME,21,60,21
749,1,LOWR,13,60,13
749,1,LACA,2,100,2
749,1,SACO,3,60,3
749,1,PLER,10,60,10
749,1,CLPU,7,60,7
749,1,HOMU,38,60,38
749,1,EUPE,21,60,21
749,1,MICA,7,50,7
749,1,AMME,26,60,26
749,1,CHGL,88,90,88
749,1,CLBO,1,60,1
749,1,MEPO,13,40,13
749,1,AGHE,26,60,26
749,1,BRMA,48,60,48
749,2,HECO,3,60,3
749,2,VUMI,48,60,48
749,2,CEME,7,60,7
749,2,LOWR,12,60,12
749,2,LACA,1,100,1
749,2,SACO,3,60,3
